POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
85,Ben Cutting,3,3,1,18,13*,9.00,17,105.88,0,0,1,1
86,Krishnappa Gowtham,7,4,1,18,9,6.00,19,94.73,0,0,1,1
87,Simran Singh,1,1,0,16,16,16.00,17,94.11,0,0,1,1
88,Alzarri Joseph,3,2,2,15,15*,-,13,115.38,0,0,2,0
89,Siddhesh Lad,1,1,0,15,15,15.00,13,115.38,0,0,1,1
90,Shardul Thakur,10,3,1,14,12*,7.00,7,200.00,0,0,1,1
91,Kagiso Rabada,12,4,1,14,9,4.66,15,93.33,0,0,0,1
92,Bhuvneshwar Kumar,15,5,2,12,7*,4.00,19,63.15,0,0,1,0
93,Kuldeep Yadav,9,4,2,12,10*,6.00,8,150.00,0,0,1,0
94,Rahul Chahar,13,4,2,12,10,6.00,11,109.09,0,0,2,0
95,Mitchell McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,2,0
96,Carlos Brathwaite,2,2,0,11,6,5.50,10,110.00,0,0,1,0
97,Ishant Sharma,13,3,3,10,10*,-,3,333.33,0,0,1,1
98,Shakib Al Hasan,3,1,0,9,9,9.00,10,90.00,0,0,0,0
99,Pawan Negi,7,4,0,9,5,2.25,12,75.00,0,0,1,0
100,Tim Southee,3,1,1,9,9*,-,9,100.00,0,0,0,0
